Taxonomy,Species,Flash duration (ms),References,Secondary References
Appendicularia,Stegosoma magnum (House),40,Galt et al. (1985),https://doi.org/10.3389/fmars.2023.1299602
Appendicularia,Stegosoma magnum,56,Galt et al. (1985),https://doi.org/10.3389/fmars.2023.1299602
Copepoda,Oncaea conifera (Mediterranean),88.5,Herring et al. (1993),https://doi.org/10.3389/fmars.2023.1299602
Insecta,Punctulatus 1580,90.87540472,Stanger-Hall and Lloyd,
Insecta,Granulatus 1028,100.7587124,Stanger-Hall and Lloyd,
Appendicularia,Oikopleura rufescens,108,Galt et al. (1985),https://doi.org/10.3389/fmars.2023.1299602
Insecta,DIV6 3027,112.9442781,Stanger-Hall and Lloyd,
Copepoda,Oncaea sp.,120,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Insecta,Granulatus 1441,124.8443394,Stanger-Hall and Lloyd,
Insecta,Punctulatus 13A,126.6424089,Stanger-Hall and Lloyd,
Insecta,Granulatus 1672,127.9059172,Stanger-Hall and Lloyd,
Insecta,Consangineus  Pg23,128.8557128,Stanger-Hall and Lloyd,
Insecta,Ardens 1062,130.7608376,Stanger-Hall and Lloyd,
Ostracoda,Bz PMO,136.28284,Hensley et al,
Insecta,Ardens 9662,137.0102242,Stanger-Hall and Lloyd,
Dinoglagellata,Lingulodinium polyedra,148,Biggley et al. (1969); Latz and Lee (1995); Latz et al. (2004b),https://doi.org/10.3389/fmars.2023.1299602
Appendicularia,Oikopleura fusiformis (House),150,Galt et al. (1985),https://doi.org/10.3389/fmars.2023.1299602
Insecta,DIV2 421,164.395794,Stanger-Hall and Lloyd,
Insecta,Consangineus 7A,167.0303723,Stanger-Hall and Lloyd,
Insecta,Punctulatus 750,174.771141,Stanger-Hall and Lloyd,
Insecta,Granulatus 66,176.8547148,Stanger-Hall and Lloyd,
Dinoglagellata,Ceratocorys horrida,184,Latz and Lee (1995),https://doi.org/10.3389/fmars.2023.1299602
Insecta,Consangineus 417,185.6486373,Stanger-Hall and Lloyd,
Insecta,Star 417,187.8435923,Stanger-Hall and Lloyd,
Insecta,Consangineus 4A,188.4918917,Stanger-Hall and Lloyd,
Appendicularia,Oikopleura rufescens (House),200,Galt et al. (1985),https://doi.org/10.3389/fmars.2023.1299602
Dinoglagellata,Pyrocystis fusiformis,200,Latz et al. (2004b); Widder and Case (1981),https://doi.org/10.3389/fmars.2023.1299602
Copepoda,Oncaea conifera (North Atlantic),213.9,Herring et al. (1993),https://doi.org/10.3389/fmars.2023.1299602
Insecta,Ardens 1764,232.2087324,Stanger-Hall and Lloyd,
Insecta,Punctulatus 1202,248.0728461,Stanger-Hall and Lloyd,
Ctenophora,Mertensia ovum,260,Cronin et al. (2016); Johnsen et al. (2014),https://doi.org/10.3389/fmars.2023.1299602
Insecta,Granulatus Pc,273.9443935,Stanger-Hall and Lloyd,
Appendicularia,Oikopleura dioica,278,Galt (1978); Galt and Sykes (1983),https://doi.org/10.3389/fmars.2023.1299602
Appendicularia,Oikopleura labradoriensis,278,Buskey (1992); Galt and Sykes (1983),https://doi.org/10.3389/fmars.2023.1299602
Insecta,Consangineus 1382,284.7439916,Stanger-Hall and Lloyd,
Insecta,Pyralis 226,293.9600658,Stanger-Hall and Lloyd,
Insecta,Punctulatus 1005,295.4058109,Stanger-Hall and Lloyd,
Insecta,DIV5 1489,295.7885081,Stanger-Hall and Lloyd,
Insecta,DIV4 15A,296.134758,Stanger-Hall and Lloyd,
Insecta,DIV7 1585,296.1894291,Stanger-Hall and Lloyd,
Insecta,Star 1382,296.7179157,Stanger-Hall and Lloyd,
Ctenophora,Euplokamis sp.,355,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Copepoda,Pleuromamma xiphias (single fast flash),378.8,Latz et al. (1990),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Bz PAN,380.76312,Hensley et al,
Insecta,DIV1 1155,394.5608397,Stanger-Hall and Lloyd,
Insecta,Granulatus Pt,396.0855541,Stanger-Hall and Lloyd,
Copepoda,Metridia sp.,400,Cronin et al. (2016),https://doi.org/10.3389/fmars.2023.1299602
Malacostraca,Thysanoessa inermis,440,Cronin et al. (2016),https://doi.org/10.3389/fmars.2023.1299602
Insecta,Punctulatus Pu,443.582532,Stanger-Hall and Lloyd,
Insecta,DIV3 1034,494.8578857,Stanger-Hall and Lloyd,
Insecta,Pyralis 889,498.4479501,Stanger-Hall and Lloyd,
Ctenophora,Beroe cuvata,514,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Copepoda,Metridia longa,560,Lapota et al. (1989); Johnsen et al. (2014),https://doi.org/10.3389/fmars.2023.1299602
Dinoglagellata,Noctiluca scintillans,568,Buskey et al. (1992); Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Cnidaria,Solmaris sp.,573,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Ctenophora,Bolinopsis sp.,621,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Ctenophora,Beroe forskalii,644,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Radiolaria,Collosphaera huxleyi,700,Latz et al. (1987b),https://doi.org/10.3389/fmars.2023.1299602
Malacostraca,Meganyctiphanes norvegica,800,Cronin et al. (2016); Johnsen et al. (2014),https://doi.org/10.3389/fmars.2023.1299602
Radiolaria,Sphaerozoum punctatum,900,Latz et al. (1987b),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Ja PMC,932.89424,Hensley et al,
Cnidaria,Haliscera conica,976,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Radiolaria,Sphaerozoum verticillatum,1000,Latz et al. (1987b),https://doi.org/10.3389/fmars.2023.1299602
Radiolaria,Collosphaera sp.,1100,Latz et al. (1987b),https://doi.org/10.3389/fmars.2023.1299602
Ctenophora,Haeckelia beehleri,1190,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Ro GPH,1283.33333,Hensley et al,
Ctenophora,Beroe cucumis,1380,Cronin et al. (2016); Johnsen et al. (2014); Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Copepoda,Pleuromamma xiphias (single slow flash),1600,Latz et al. (1990),https://doi.org/10.3389/fmars.2023.1299602
Copepoda,Pleuromamma xiphias (double flash),1600,Latz et al. (1990),https://doi.org/10.3389/fmars.2023.1299602
Cnidaria,Solmissus marshalli,1670,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Ro CMU,1670.37037,Hensley et al,
Ostracoda,Ja OBD,2138.88889,Hensley et al,
Ostracoda,Bz MSH,2363.21716,Hensley et al,
Radiolaria,Raphodozoum acuferum,2400,Latz et al. (1987b),https://doi.org/10.3389/fmars.2023.1299602
Malacostraca,Scina crassicornis,3000,Bowlby et al. (1991),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Bz KHC,3413.02889,Hensley et al,
Cnidaria,Vogtia glabra,3500,Nicol (1958b),https://doi.org/10.3389/fmars.2023.1299602
Cnidaria,Phialidium sp.,3510,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Cnidaria,Paraphyllina sp.,3510,Widder (1991),https://doi.org/10.3389/fmars.2023.1299602
Cnidaria,Aeginura grimaldii,3700,Nicol (1958b),https://doi.org/10.3389/fmars.2023.1299602
Cnidaria,Crossata alba,3800,Nicol (1958b),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Ro RD,3862.96296,Hensley et al,
Cnidaria,Vogtia spinosa,4430,Nicol (1958b),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Ro IR,4444.44444,Hensley et al,
Radiolaria,Thalassicolla nucleata,5000,Latz et al. (1991),https://doi.org/10.3389/fmars.2023.1299602
Ostracoda,Ro DU,5016.66667,Hensley et al,
Ostracoda,Bz SVD,5542.05061,Hensley et al,
Ostracoda,Ro ODH,5737.03704,Hensley et al,
Cnidaria,Atolla wyvillei,5790,Nicol (1958b),
Ostracoda,Ro WLU,6070.37037,Hensley et al,
Ostracoda,Bz SVU,6227.04879,Hensley et al,
Ostracoda,Ja VAD,6256.94444,Hensley et al,
Ostracoda,Ro AG,6352.77778,Hensley et al,
Ostracoda,Ja AU,6743.05556,Hensley et al,
Cnidaria,Octophialucium sp.,7080,Widder (1991),
Ostracoda,Ja SVD,7458.33333,Hensley et al,
Ostracoda,Ja WLU,8473.95833,Hensley et al,
Ostracoda,Bz IFP,9256.41026,Hensley et al,
Malacostraca,Cyphocaris faurei,9300,Bowlby et al. (1991),
Ostracoda,Ja PJA,9336.07263,Hensley et al,
Cnidaria,Periphylla,11400,Widder (1991),
Ctenophora,Leucothea multicornis,12800,Widder (1991),
Ctenophora,Ocyropsis fusca,22400,Widder (1991),
Ctenophora,Lampea pancerina,108000,Widder (1991),
Appendicularia,Pyrosoma verticillata,116000,Bowlby et al. (1990),
Appendicularia,Pyrosoma atlanticum,592000,Bowlby et al. (1990),
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,